estimator,alpha,beta,avg_score,percent_steered,order
orthogonal-parameterized,-1.75,-1.0,-0.845703125,0.46,beta_first
orthogonal-parameterized,-1.75,-0.5,-0.59765625,0.39,beta_first
orthogonal-parameterized,-1.75,0.0,-0.331298828125,0.315,beta_first
orthogonal-parameterized,-1.75,0.5,-0.246826171875,0.375,beta_first
orthogonal-parameterized,-1.75,1.0,-0.24755859375,0.36,beta_first
orthogonal-parameterized,-1.75,1.5,-0.15625,0.42,beta_first
orthogonal-parameterized,-1.75,2.0,0.244384765625,0.475,beta_first
parameterized,-1.75,-2.0,-0.638671875,0.44,beta_first
parameterized,-1.75,-1.5,-0.576171875,0.42,beta_first
parameterized,-1.75,-1.0,-0.5,0.4,beta_first
parameterized,-1.75,-0.5,-0.443115234375,0.345,beta_first
parameterized,-1.75,0.0,-0.38427734375,0.32,beta_first
parameterized,-1.75,0.5,-0.39501953125,0.33,beta_first
parameterized,-1.75,1.0,-0.3642578125,0.35,beta_first
parameterized,-1.75,1.5,-0.3505859375,0.38,beta_first
parameterized,-1.75,2.0,-0.375,0.39,beta_first
orthogonal-parameterized,-1.5,-2.0,-0.7744140625,0.47,beta_first
orthogonal-parameterized,-1.5,-1.5,-0.89892578125,0.46,beta_first
orthogonal-parameterized,-1.5,-1.0,-0.7255859375,0.43,beta_first
orthogonal-parameterized,-1.5,-0.5,-0.3525390625,0.305,beta_first
orthogonal-parameterized,-1.5,0.0,-0.1650390625,0.405,beta_first
orthogonal-parameterized,-1.5,0.5,-0.27197265625,0.355,beta_first
orthogonal-parameterized,-1.5,1.0,-0.1700439453125,0.4,beta_first
orthogonal-parameterized,-1.5,1.5,0.17626953125,0.465,beta_first
orthogonal-parameterized,-1.5,2.0,0.82958984375,0.56,beta_first
parameterized,-1.5,-2.0,-0.26318359375,0.385,beta_first
parameterized,-1.5,-1.5,-0.2481689453125,0.34,beta_first
parameterized,-1.5,-1.0,-0.215576171875,0.305,beta_first
parameterized,-1.5,-0.5,-0.24755859375,0.325,beta_first
parameterized,-1.5,0.0,-0.2337646484375,0.35,beta_first
parameterized,-1.5,0.5,-0.25634765625,0.38,beta_first
parameterized,-1.5,1.0,-0.273681640625,0.365,beta_first
parameterized,-1.5,1.5,-0.2744140625,0.375,beta_first
parameterized,-1.5,2.0,-0.3212890625,0.355,beta_first
orthogonal-parameterized,-1.25,-2.0,-0.888671875,0.465,beta_first
orthogonal-parameterized,-1.25,-1.5,-0.81494140625,0.45,beta_first
orthogonal-parameterized,-1.25,-1.0,-0.38818359375,0.365,beta_first
orthogonal-parameterized,-1.25,-0.5,-0.1893310546875,0.35,beta_first
orthogonal-parameterized,-1.25,0.0,-0.2349853515625,0.34,beta_first
orthogonal-parameterized,-1.25,0.5,-0.2037353515625,0.385,beta_first
orthogonal-parameterized,-1.25,1.0,0.10247802734375,0.475,beta_first
orthogonal-parameterized,-1.25,1.5,0.79638671875,0.54,beta_first
orthogonal-parameterized,-1.25,2.0,1.4990234375,0.625,beta_first
parameterized,-1.25,-2.0,-0.13818359375,0.365,beta_first
parameterized,-1.25,-1.5,-0.153076171875,0.355,beta_first
parameterized,-1.25,-1.0,-0.1500244140625,0.35,beta_first
parameterized,-1.25,-0.5,-0.1943359375,0.34,beta_first
parameterized,-1.25,0.0,-0.2462158203125,0.335,beta_first
parameterized,-1.25,0.5,-0.265625,0.345,beta_first
parameterized,-1.25,1.0,-0.313720703125,0.335,beta_first
parameterized,-1.25,1.5,-0.324951171875,0.34,beta_first
parameterized,-1.25,2.0,-0.324951171875,0.34,beta_first
orthogonal-parameterized,-1.0,-2.0,-0.8701171875,0.46,beta_first
orthogonal-parameterized,-1.0,-1.5,-0.60888671875,0.43,beta_first
orthogonal-parameterized,-1.0,-1.0,-0.251220703125,0.305,beta_first
orthogonal-parameterized,-1.0,-0.5,-0.1480712890625,0.35,beta_first
orthogonal-parameterized,-1.0,0.0,-0.273193359375,0.37,beta_first
orthogonal-parameterized,-1.0,0.5,-0.08935546875,0.44,beta_first
orthogonal-parameterized,-1.0,1.0,0.4599609375,0.485,beta_first
orthogonal-parameterized,-1.0,1.5,1.27734375,0.585,beta_first
orthogonal-parameterized,-1.0,2.0,1.900390625,0.67,beta_first
parameterized,-1.0,-2.0,-0.1287841796875,0.395,beta_first
parameterized,-1.0,-1.5,-0.168701171875,0.37,beta_first
parameterized,-1.0,-1.0,-0.1800537109375,0.395,beta_first
parameterized,-1.0,-0.5,-0.264404296875,0.37,beta_first
parameterized,-1.0,0.0,-0.29931640625,0.385,beta_first
parameterized,-1.0,0.5,-0.322509765625,0.365,beta_first
parameterized,-1.0,1.0,-0.3212890625,0.375,beta_first
parameterized,-1.0,1.5,-0.320068359375,0.38,beta_first
parameterized,-1.0,2.0,-0.30126953125,0.38,beta_first
orthogonal-parameterized,-0.75,-2.0,-0.76708984375,0.455,beta_first
orthogonal-parameterized,-0.75,-1.5,-0.358154296875,0.385,beta_first
orthogonal-parameterized,-0.75,-1.0,-0.1668701171875,0.335,beta_first
orthogonal-parameterized,-0.75,-0.5,-0.2381591796875,0.37,beta_first
orthogonal-parameterized,-0.75,0.0,-0.2237548828125,0.395,beta_first
orthogonal-parameterized,-0.75,0.5,0.1324462890625,0.47,beta_first
orthogonal-parameterized,-0.75,1.0,0.921875,0.545,beta_first
orthogonal-parameterized,-0.75,1.5,1.6787109375,0.63,beta_first
orthogonal-parameterized,-0.75,2.0,2.1875,0.73,beta_first
parameterized,-0.75,-2.0,-0.1875,0.415,beta_first
parameterized,-0.75,-1.5,-0.26123046875,0.405,beta_first
