estimator,alpha,beta,avg_score,percent_steered,order
orthogonal-parameterized,-1.5,0.5,-0.1937255859375,0.435,beta_first
orthogonal-parameterized,-1.5,1.0,-0.0025005340576171875,0.48,beta_first
orthogonal-parameterized,-1.5,1.5,0.3388671875,0.525,beta_first
orthogonal-parameterized,-1.5,2.0,1.00390625,0.57,beta_first
parameterized,-1.5,-2.0,-0.3974609375,0.355,beta_first
parameterized,-1.5,-1.5,-0.40625,0.355,beta_first
parameterized,-1.5,-1.0,-0.34619140625,0.37,beta_first
parameterized,-1.5,-0.5,-0.308837890625,0.365,beta_first
parameterized,-1.5,0.0,-0.28125,0.365,beta_first
parameterized,-1.5,0.5,-0.228759765625,0.38,beta_first
parameterized,-1.5,1.0,-0.217529296875,0.355,beta_first
parameterized,-1.5,1.5,-0.15380859375,0.38,beta_first
parameterized,-1.5,2.0,-0.11248779296875,0.395,beta_first
orthogonal-parameterized,-1.25,-2.0,-0.52978515625,0.45,beta_first
orthogonal-parameterized,-1.25,-1.5,-0.5087890625,0.395,beta_first
orthogonal-parameterized,-1.25,-1.0,-0.416259765625,0.365,beta_first
orthogonal-parameterized,-1.25,-0.5,-0.3076171875,0.385,beta_first
orthogonal-parameterized,-1.25,0.0,-0.219970703125,0.425,beta_first
orthogonal-parameterized,-1.25,0.5,-0.07373046875,0.465,beta_first
orthogonal-parameterized,-1.25,1.0,0.264892578125,0.51,beta_first
orthogonal-parameterized,-1.25,1.5,0.98486328125,0.58,beta_first
orthogonal-parameterized,-1.25,2.0,1.8408203125,0.64,beta_first
parameterized,-1.25,-2.0,-0.3525390625,0.415,beta_first
parameterized,-1.25,-1.5,-0.336181640625,0.42,beta_first
parameterized,-1.25,-1.0,-0.3125,0.42,beta_first
parameterized,-1.25,-0.5,-0.266357421875,0.42,beta_first
parameterized,-1.25,0.0,-0.2225341796875,0.425,beta_first
parameterized,-1.25,0.5,-0.1636962890625,0.44,beta_first
parameterized,-1.25,1.0,-0.143798828125,0.425,beta_first
parameterized,-1.25,1.5,-0.05999755859375,0.42,beta_first
parameterized,-1.25,2.0,-0.027496337890625,0.415,beta_first
orthogonal-parameterized,-1.0,-2.0,-0.52978515625,0.42,beta_first
orthogonal-parameterized,-1.0,-1.5,-0.4951171875,0.355,beta_first
orthogonal-parameterized,-1.0,-1.0,-0.38134765625,0.36,beta_first
orthogonal-parameterized,-1.0,-0.5,-0.262451171875,0.42,beta_first
orthogonal-parameterized,-1.0,0.0,-0.1712646484375,0.46,beta_first
orthogonal-parameterized,-1.0,0.5,0.0675048828125,0.5,beta_first
orthogonal-parameterized,-1.0,1.0,0.65625,0.55,beta_first
orthogonal-parameterized,-1.0,1.5,1.505859375,0.605,beta_first
orthogonal-parameterized,-1.0,2.0,2.353515625,0.7,beta_first
parameterized,-1.0,-2.0,-0.3662109375,0.45,beta_first
parameterized,-1.0,-1.5,-0.32373046875,0.455,beta_first
parameterized,-1.0,-1.0,-0.282470703125,0.445,beta_first
parameterized,-1.0,-0.5,-0.25244140625,0.46,beta_first
parameterized,-1.0,0.0,-0.1787109375,0.465,beta_first
parameterized,-1.0,0.5,-0.126220703125,0.47,beta_first
parameterized,-1.0,1.0,-0.06622314453125,0.45,beta_first
parameterized,-1.0,1.5,-0.00749969482421875,0.45,beta_first
parameterized,-1.0,2.0,0.052490234375,0.44,beta_first
orthogonal-parameterized,-0.75,-2.0,-0.51611328125,0.39,beta_first
orthogonal-parameterized,-0.75,-1.5,-0.43505859375,0.355,beta_first
orthogonal-parameterized,-0.75,-1.0,-0.357421875,0.39,beta_first
orthogonal-parameterized,-0.75,-0.5,-0.2587890625,0.45,beta_first
orthogonal-parameterized,-0.75,0.0,-0.125,0.47,beta_first
orthogonal-parameterized,-0.75,0.5,0.31494140625,0.51,beta_first
orthogonal-parameterized,-0.75,1.0,1.1884765625,0.58,beta_first
orthogonal-parameterized,-0.75,1.5,1.9990234375,0.645,beta_first
orthogonal-parameterized,-0.75,2.0,2.91796875,0.745,beta_first
parameterized,-0.75,-2.0,-0.268798828125,0.485,beta_first
parameterized,-0.75,-1.5,-0.25,0.49,beta_first
parameterized,-0.75,-1.0,-0.199951171875,0.48,beta_first
parameterized,-0.75,-0.5,-0.137451171875,0.485,beta_first
parameterized,-0.75,0.0,-0.0687255859375,0.465,beta_first
